geoid,name,B19058001,"B19058001, Error",B19058002,"B19058002, Error",B19058003,"B19058003, Error"
86000US44320,44320,8682,403,2575,363,6107,355
86000US44321,44321,5978,263,184,83,5794,284
86000US44333,44333,7420,308,369,104,7051,347
86000US44401,44401,1090,103,104,54,986,109
86000US44402,44402,1226,111,107,67,1119,113
86000US44403,44403,1765,140,148,68,1617,143
86000US44404,44404,649,98,36,25,613,98
86000US44405,44405,3379,146,1306,149,2073,178
86000US44406,44406,8725,298,332,141,8393,271
86000US44408,44408,4496,236,414,123,4082,270
86000US44410,44410,7583,249,609,132,6974,284
86000US44411,44411,752,93,126,55,626,109
86000US44412,44412,1024,86,106,70,918,103
86000US44413,44413,2880,166,430,115,2450,185
86000US44417,44417,702,107,72,37,630,111
86000US44418,44418,555,97,9,13,546,96
86000US44420,44420,6705,274,849,173,5856,302
86000US44423,44423,931,145,117,58,814,139
86000US44425,44425,6504,286,406,114,6098,315
86000US44427,44427,504,132,25,31,479,129
86000US44428,44428,1206,108,148,70,1058,133
86000US44429,44429,1186,104,212,77,974,110
86000US44430,44430,1414,153,194,66,1220,155
86000US44431,44431,1772,157,169,53,1603,162
86000US44432,44432,4416,259,777,148,3639,271
86000US44436,44436,1484,96,247,75,1237,86
86000US44437,44437,1834,187,267,108,1567,210
86000US44438,44438,1750,134,289,89,1461,149
86000US44439,44439,41,29,6,7,35,29
86000US44440,44440,1993,190,202,82,1791,202
86000US44441,44441,671,119,55,47,616,119
86000US44442,44442,1632,157,193,83,1439,151
86000US44443,44443,582,128,84,72,498,116
86000US44444,44444,4263,197,509,151,3754,205
86000US44445,44445,1405,182,207,61,1198,189
86000US44446,44446,8836,325,1334,221,7502,378
86000US44449,44449,464,103,96,63,368,90
86000US44450,44450,725,102,72,36,653,99
86000US44451,44451,1248,88,108,57,1140,99
86000US44452,44452,1202,159,41,39,1161,151
86000US44454,44454,408,116,96,94,312,87
86000US44455,44455,612,143,58,38,554,139
86000US44460,44460,10555,338,1447,285,9108,393
86000US44470,44470,1572,115,127,56,1445,125
